id,name,blood_status,hair_color,eye_color,patronus,wand,occupation,loyalty,house
522,Mrs Diggory,None,None,None,None,None,None,None,None
523,Eldritch Diggory,None,None,None,None,None,None,None,None
524,Mr Bones,None,None,None,None,None,None,None,None
525,Mrs Bones,None,None,None,None,None,None,None,None
526,Amelia Bones,None,None,None,None,None,None,None,None
527,Edgar Bones,None,None,None,None,None,None,None,None
528,Edgar Bones’ wife,None,None,None,None,None,None,None,None
529,Bones children,None,None,None,None,None,None,None,None
530,Mrs Bagby,None,None,None,None,None,None,None,None
531,Longbottom family,None,None,None,None,None,None,None,None
532,Iris,None,None,None,None,None,None,None,None
533,Marigold,None,None,None,None,None,None,None,None
534,Mrs Hitchin,None,None,None,None,None,None,None,None
535,Mother †,None,None,None,None,None,None,None,None
536,Mr Warren,None,None,None,None,None,None,None,None
537,Mrs Warren,None,None,None,None,None,None,None,None
538,Mr Trelawney,None,None,None,None,None,None,None,None
539,Mrs Trelawney,None,None,None,None,None,None,None,None
540,Higglebottom,None,None,None,None,None,None,None,None
541,Cassandra Trelawney,None,None,None,None,None,None,None,None
542,Mr Reynolds,None,None,None,None,None,None,None,None
543,Panju Weasley,None,None,None,None,None,None,None,None
544,Gervaise Ollivander,None,None,None,None,None,None,None,None
545,Mrs Ollivander,None,None,None,None,None,None,None,None
546,Wife,None,None,None,None,None,None,None,None
547,Son,None,None,None,None,None,None,None,None
548,Daughter †,None,None,None,None,None,None,None,None
549,Gerbold Ollivander,None,None,None,None,None,None,None,None
550,Ollivander,None,None,None,None,None,None,None,None
551,Geraint Ollivander,None,None,None,None,None,None,None,None
552,Mrs Montgomery,None,None,None,None,None,None,None,None
553,Montgomery sisters,None,None,None,None,None,None,None,None
554,Montgomery,None,None,None,None,None,None,None,None
555,Morag MacDougal,None,None,None,None,None,None,None,None
556,Pandora Lovegood,None,None,None,None,None,None,None,None
557,Porpentina Scamander,None,None,None,None,None,None,None,None
558,Mr Lockhart,None,None,None,None,None,None,None,None
559,Mrs Lockhart,None,None,None,None,None,None,None,None
560,Two older sisters,None,None,None,None,None,None,None,None
561,Mrs Hesleden,None,None,None,None,None,None,None,None
562,Lorcan Scamander,None,None,None,None,None,None,None,None
563,Lysander Scamander,None,None,None,None,None,None,None,None
564,Benjy Fenwick,None,None,None,None,None,None,None,None
565,Mervyn Fenwick,None,None,None,None,None,None,None,None
566,Robbie Fenwick,None,None,None,None,None,None,None,None
567,Mr Edgecombe,None,None,None,None,None,None,None,None
568,Madam Edgecombe,None,None,None,None,None,None,None,None
569,John Dawlish,None,None,None,None,None,None,None,None
570,Davies family,None,None,None,None,None,None,None,None
571,Mr Chang,None,None,None,None,None,None,None,None
572,Mrs Chang,None,None,None,None,None,None,None,None
573,Chang,None,None,None,None,None,None,None,None
574,Muggle,None,None,None,None,None,None,None,None
575,Buckley Cooper,None,None,None,None,None,None,None,None
576,Mr Cooper,None,None,None,None,None,None,None,None
577,Cooper children,None,None,None,None,None,None,None,None
578,Chadwick Boot,None,None,None,None,None,None,None,None
579,Webster Boot,None,None,None,None,None,None,None,None
580,D. L. Boot,None,None,None,None,None,None,None,None
581,Albert Boot,None,None,None,None,None,None,None,None
582,Boot family,None,None,None,None,None,None,None,None
583,Mr Belby,None,None,None,None,None,None,None,None
584,Damocles Belby,None,None,None,None,None,None,None,None
585,Flavius Belby,None,None,None,None,None,None,None,None
586,Mrs Birch,None,None,None,None,None,None,None,None
587,Brevis Birch,None,None,None,None,None,None,None,None
588,Mrs Alton,None,None,None,None,None,None,None,None
589,Mrs Aldermaston,None,None,None,None,None,None,None,None
590,Crabbe,None,None,None,None,None,None,None,None
591,Jocunda Sykes,None,None,None,None,None,None,None,None
592,Mr Snyde,None,None,None,None,None,None,None,None
593,Sister-in-law,None,None,None,None,None,None,None,None
594,Maternal aunt,None,None,None,None,None,None,None,None
595,Snyde family,None,None,None,None,None,None,None,None
596,Rionach Gaunt,None,None,None,None,None,None,None,None
597,Isolt Sayre,None,None,None,None,None,None,None,None
598,Rionach Steward,None,None,None,None,None,None,None,None
599,Martha Steward II,None,None,None,None,None,None,None,None
600,Marvolo Gaunt,None,None,None,None,None,None,None,None
601,Morfin Gaunt,None,None,None,None,None,None,None,None
602,Merope Gaunt,None,None,None,None,None,None,None,None
603,Ted Tonks,None,None,None,None,None,None,None,None
604,Teddy Lupin,None,None,None,None,None,None,None,None
605,Sirius Black,None,None,None,None,None,None,None,None
606,Regulus Black,None,None,None,None,None,None,None,None
607,Mr Slughorn,None,None,None,None,None,None,None,None
608,Mother†,None,None,None,None,None,None,None,None
609,Slughorn family,None,None,None,None,None,None,None,None
610,Mrs Zabini,None,None,None,None,None,None,None,None
611,Six stepfathers  †,None,None,None,None,None,None,None,None
612,Heliotrope Wilkins,None,None,None,None,None,None,None,None
613,Tobias Snape,None,None,None,None,None,None,None,None
614,Orford Umbridge,None,None,None,None,None,None,None,None
615,Ellen Cracknell,None,None,None,None,None,None,None,None
616,Rosier family,None,None,None,None,None,None,None,None
617,Vinda Rosier,None,None,None,None,None,None,None,None
618,Rosier,None,None,None,None,None,None,None,None
619,Tom Riddle Snr,None,None,None,None,None,None,None,None
620,Merope Riddle,None,None,None,None,None,None,None,None
621,Thomas Riddle,None,None,None,None,None,None,None,None
622,Mary Riddle,None,None,None,None,None,None,None,None
623,Cadmus Peverell,None,None,None,None,None,None,None,None
624,Perseus Parkinson,None,None,None,None,None,None,None,None
625,Mr Nott,None,None,None,None,None,None,None,None
626,Mrs Nott,None,None,None,None,None,None,None,None
627,Cantankerus Nott,None,None,None,None,None,None,None,None
628,Evangeline Orpington,None,None,None,None,None,None,None,None
629,Nigel,None,None,None,None,None,None,None,None
630,Aunt,None,None,None,None,None,None,None,None
631,Maud Montague,None,None,None,None,None,None,None,None
632,Astoria Malfoy,None,None,None,None,None,None,None,None
633,Malfoy family,None,None,None,None,None,None,None,None
634,Greengrass family,None,None,None,None,None,None,None,None
635,Astoria Malfoy's ancestor,None,None,None,None,None,None,None,None
636,Armand Malfoy,None,None,None,None,None,None,None,None
637,Nicholas Malfoy,None,None,None,None,None,None,None,None
638,Lucius Malfoy I,None,None,None,None,None,None,None,None
639,Septimus Malfoy,None,None,None,None,None,None,None,None
640,Brutus Malfoy,None,None,None,None,None,None,None,None
641,Astoria Greengrass,None,None,None,None,None,None,None,None
642,Radolphus Lestrange,None,None,None,None,None,None,None,None
643,F. Lestrange,None,None,None,None,None,None,None,None
644,R. Lestrange,None,None,None,None,None,None,None,None
645,Bellatrix Black,None,None,None,None,None,None,None,None
646,Lestrange family,None,None,None,None,None,None,None,None
647,Corvus Lestrange,None,None,None,None,None,None,None,None
648,Laurena Kama,None,None,None,None,None,None,None,None
649,Clarisse Tremblay,None,None,None,None,None,None,None,None
650,Yusuf Kama,None,None,None,None,None,None,None,None
651,Eglantine Lestrange,None,None,None,None,None,None,None,None
652,Kama family,None,None,None,None,None,None,None,None
653,Cecil Lee,None,None,None,None,None,None,None,None
654,Bertie Higgs,None,None,None,None,None,None,None,None
655,Unnamed ancestor,None,None,None,None,None,None,None,None
656,Goyle,None,None,None,None,None,None,None,None
657,Mrs Goyle,None,None,None,None,None,None,None,None
658,Rionach Sayre,None,None,None,None,None,None,None,None
659,William Sayre,None,None,None,None,None,None,None,None
660,James Steward,None,None,None,None,None,None,None,None
661,Gaunt family,None,None,None,None,None,None,None,None
662,Ursula Flint,None,None,None,None,None,None,None,None
663,Josephina Flint,None,None,None,None,None,None,None,None
664,Flint family,None,None,None,None,None,None,None,None
665,Grim Fawley,None,None,None,None,None,None,None,None
666,Bella Farley,None,None,None,None,None,None,None,None
667,Charlie Farley,None,None,None,None,None,None,None,None
668,Jake Farley,None,None,None,None,None,None,None,None
669,Madge Farley,None,None,None,None,None,None,None,None
670,Farley family,None,None,None,None,None,None,None,None
671,Caractacus Burke,None,None,None,None,None,None,None,None
672,Herbert Burke,None,None,None,None,None,None,None,None
673,Violetta Bulstrode,None,None,None,None,None,None,None,None
674,Bletchley,None,None,None,None,None,None,None,None
675,Madame Bletchley,None,None,None,None,None,None,None,None
676,Araminta Meliflua,None,None,None,None,None,None,None,None
677,Marius Black,None,None,None,None,None,None,None,None
678,Male paternal cousin,None,None,None,None,None,None,None,None
679,Lucretia Black,None,None,None,None,None,None,None,None
680,Regulus Black I,None,None,None,None,None,None,None,None
681,Lycoris Black,None,None,None,None,None,None,None,None
682,Licorus Black,None,None,None,None,None,None,None,None
683,Magenta Black,None,None,None,None,None,None,None,None
684,Cygnus Black I,None,None,None,None,None,None,None,None
685,Ella Black,None,None,None,None,None,None,None,None
686,Sirius Black I,None,None,None,None,None,None,None,None
687,Elladora Black,None,None,None,None,None,None,None,None
688,Iola Hitchens,None,None,None,None,None,None,None,None
689,Bob Hitchens,None,None,None,None,None,None,None,None
690,Misapinoa Blishwick,None,None,None,None,None,None,None,None
691,Jimbo Blishwick,None,None,None,None,None,None,None,None
692,Arcturus Black I,None,None,None,None,None,None,None,None
693,Phineas Black,None,None,None,None,None,None,None,None
694,Belvina Burke,None,None,None,None,None,None,None,None
695,Two grandsons,None,None,None,None,None,None,None,None
696,Prewett family,None,None,None,None,None,None,None,None
697,Male paternal cousins,None,None,None,None,None,None,None,None
698,Female paternal cousin,None,None,None,None,None,None,None,None
699,Son †,None,None,None,None,None,None,None,None
700,Mrs Crouch,None,None,None,None,None,None,None,None
701,Bartemius Crouch Jr,None,None,None,None,None,None,None,None
702,Two daughters †,None,None,None,None,None,None,None,None
703,Niece,None,None,None,None,None,None,None,None
704,Nephews,None,None,None,None,None,None,None,None
705,Crouch family,None,None,None,None,None,None,None,None
706,Two male first cousins,None,None,None,None,None,None,None,None
707,Female first cousin,None,None,None,None,None,None,None,None
708,Araminta Meliflua Black,None,None,None,None,None,None,None,None
709,Two older sons,None,None,None,None,None,None,None,None
710,Weasley children's cousin,None,None,None,None,None,None,None,None
711,Nephew †,None,None,None,None,None,None,None,None
712,Two nieces †,None,None,None,None,None,None,None,None
713,Herbert's sons,None,None,None,None,None,None,None,None
714,Herbert's daughter,None,None,None,None,None,None,None,None
715,Daughter,None,None,None,None,None,None,None,None
716,Two nephews,None,None,None,None,None,None,None,None
717,Damocles Rowle,None,None,None,None,None,None,None,None
718,Argo Pyrites,None,None,None,None,None,None,None,None
719,Lestrange Snr,None,None,None,None,None,None,None,None
720,Mother or mother-in-law,None,None,None,None,None,None,None,None
721,Husband,None,None,None,None,None,None,None,None
722,Barnaby Lee,None,None,None,None,None,None,None,None
723,Great-grandfather †,None,None,None,None,None,None,None,None
724,Possible aunts †,None,None,None,None,None,None,None,None
725,Irma Crabbe,None,None,None,None,None,None,None,None
726,death,None,None,None,None,None,None,None,None
727,Death Eater,None,None,None,None,None,None,None,None
728,Morgan le Fay,None,None,None,None,None,None,None,None
